4502
日付	出来高	始値	高値	安値	終値	調整後終値
1990-01-04	571000.0	2330.0	2360.0	2320.0	2360.0	2360.0
1990-01-05	613000.0	2360.0	2370.0	2300.0	2330.0	2330.0
1990-01-06						2336.6
1990-01-07						2343.2
1990-01-08	633000.0	2360.0	2370.0	2330.0	2350.0	2350.0
1990-01-09	676000.0	2340.0	2350.0	2320.0	2350.0	2350.0
1990-01-10	420000.0	2350.0	2360.0	2340.0	2350.0	2350.0
1990-01-11	1882000.0	2390.0	2410.0	2360.0	2400.0	2400.0
1990-01-12	815000.0	2400.0	2400.0	2360.0	2390.0	2390.0
1990-01-13						2377.5
1990-01-14						2365.0
1990-01-15						2352.5
1990-01-16	702000.0	2360.0	2370.0	2320.0	2340.0	2340.0
1990-01-17	1112000.0	2340.0	2360.0	2330.0	2350.0	2350.0
1990-01-18	521000.0	2330.0	2340.0	2310.0	2320.0	2320.0
1990-01-19	528000.0	2320.0	2330.0	2300.0	2330.0	2330.0
1990-01-20						2340.0
1990-01-21						2350.0
1990-01-22	636000.0	2350.0	2370.0	2330.0	2360.0	2360.0
1990-01-23	700000.0	2350.0	2390.0	2330.0	2380.0	2380.0
1990-01-24	671000.0	2380.0	2390.0	2330.0	2350.0	2350.0
1990-01-25	619000.0	2360.0	2370.0	2330.0	2340.0	2340.0
1990-01-26	420000.0	2340.0	2350.0	2330.0	2340.0	2340.0
1990-01-27						2353.3
1990-01-28						2366.6
1990-01-29	1074000.0	2340.0	2400.0	2340.0	2380.0	2380.0
1990-01-30	1031000.0	2380.0	2380.0	2350.0	2350.0	2350.0
1990-01-31	771000.0	2360.0	2400.0	2350.0	2400.0	2400.0
1990-02-01	867000.0	2400.0	2410.0	2380.0	2390.0	2390.0
1990-02-02	697000.0	2390.0	2390.0	2350.0	2350.0	2350.0
1990-02-03						2346.6
1990-02-04						2343.2
1990-02-05	437000.0	2390.0	2390.0	2340.0	2340.0	2340.0
1990-02-06	483000.0	2360.0	2360.0	2340.0	2350.0	2350.0
1990-02-07	2387000.0	2350.0	2350.0	2320.0	2340.0	2340.0
1990-02-08	523000.0	2340.0	2340.0	2320.0	2320.0	2320.0
1990-02-09	479000.0	2320.0	2320.0	2300.0	2310.0	2310.0
1990-02-10						2307.5
1990-02-11						2305.0
1990-02-12						2302.5
1990-02-13	290000.0	2310.0	2320.0	2300.0	2300.0	2300.0
1990-02-14	584000.0	2300.0	2310.0	2280.0	2290.0	2290.0
1990-02-15	532000.0	2290.0	2300.0	2280.0	2280.0	2280.0
1990-02-16	719000.0	2320.0	2320.0	2280.0	2280.0	2280.0
1990-02-17						2280.0
1990-02-18						2280.0
1990-02-19	407000.0	2280.0	2290.0	2260.0	2280.0	2280.0
1990-02-20	474000.0	2270.0	2280.0	2250.0	2270.0	2270.0
1990-02-21	575000.0	2230.0	2250.0	2210.0	2210.0	2210.0
1990-02-22	534000.0	2240.0	2240.0	2170.0	2190.0	2190.0
1990-02-23	943000.0	2180.0	2180.0	2060.0	2060.0	2060.0
1990-02-24						2036.6
1990-02-25						2013.2
1990-02-26	670000.0	2040.0	2040.0	1880.0	1990.0	1990.0
1990-02-27	999000.0	1990.0	2040.0	1960.0	2030.0	2030.0
1990-02-28	899000.0	2070.0	2130.0	2040.0	2130.0	2130.0
1990-03-01	964000.0	2110.0	2110.0	2060.0	2060.0	2060.0
1990-03-02	405000.0	2060.0	2100.0	2060.0	2070.0	2070.0
1990-03-03						2053.3
1990-03-04						2036.6
1990-03-05	599000.0	2060.0	2060.0	2020.0	2020.0	2020.0
1990-03-06	371000.0	2030.0	2030.0	2000.0	2000.0	2000.0
1990-03-07	639000.0	2000.0	2010.0	1970.0	1970.0	1970.0
1990-03-08	636000.0	1950.0	2040.0	1950.0	2000.0	2000.0
1990-03-09	1175000.0	2020.0	2020.0	2000.0	2000.0	2000.0
1990-03-10						1990.0
1990-03-11						1980.0
1990-03-12	1312000.0	2000.0	2010.0	1970.0	1970.0	1970.0
1990-03-13	556000.0	1970.0	1970.0	1910.0	1910.0	1910.0
1990-03-14	1312000.0	1900.0	1900.0	1800.0	1830.0	1830.0
1990-03-15	1001000.0	1830.0	1890.0	1830.0	1840.0	1840.0
1990-03-16	655000.0	1850.0	1890.0	1820.0	1850.0	1850.0
1990-03-17						1826.6
1990-03-18						1803.2
1990-03-19	615000.0	1850.0	1880.0	1730.0	1780.0	1780.0
1990-03-20	1368000.0	1750.0	1770.0	1690.0	1710.0	1710.0
1990-03-21						1680.0
1990-03-22	1418000.0	1710.0	1710.0	1510.0	1650.0	1650.0
1990-03-23	1459000.0	1670.0	1730.0	1630.0	1730.0	1730.0
1990-03-24						1753.3
1990-03-25						1776.6
1990-03-26	1178000.0	1730.0	1800.0	1730.0	1800.0	1800.0
1990-03-27	932000.0	1800.0	1800.0	1710.0	1760.0	1760.0
1990-03-28	588000.0	1700.0	1760.0	1700.0	1740.0	1740.0
1990-03-29	1030000.0	1710.0	1820.0	1710.0	1790.0	1790.0
1990-03-30	796000.0	1760.0	1780.0	1700.0	1750.0	1750.0
1990-03-31						1716.6
1990-04-01						1683.2
1990-04-02	671000.0	1600.0	1670.0	1600.0	1650.0	1650.0
1990-04-03	841000.0	1700.0	1740.0	1620.0	1740.0	1740.0
1990-04-04	1310000.0	1750.0	1800.0	1700.0	1760.0	1760.0
1990-04-05	1812000.0	1720.0	1850.0	1720.0	1850.0	1850.0
1990-04-06	1755000.0	1910.0	1910.0	1870.0	1890.0	1890.0
1990-04-07						1900.0
1990-04-08						1910.0
1990-04-09	1288000.0	1910.0	1930.0	1890.0	1920.0	1920.0
1990-04-10	1720000.0	1890.0	1980.0	1880.0	1910.0	1910.0
1990-04-11	1490000.0	1930.0	1970.0	1900.0	1900.0	1900.0
1990-04-12	1810000.0	1940.0	1970.0	1900.0	1940.0	1940.0
1990-04-13	1057000.0	1910.0	1930.0	1870.0	1900.0	1900.0
1990-04-14						1893.3
1990-04-15						1886.6
1990-04-16	635000.0	1870.0	1880.0	1840.0	1880.0	1880.0
1990-04-17	530000.0	1850.0	1880.0	1810.0	1810.0	1810.0
1990-04-18	549000.0	1780.0	1820.0	1780.0	1810.0	1810.0
1990-04-19	492000.0	1850.0	1850.0	1810.0	1820.0	1820.0
1990-04-20	482000.0	1850.0	1860.0	1820.0	1820.0	1820.0
1990-04-21						1816.6
1990-04-22						1813.2
1990-04-23	281000.0	1830.0	1840.0	1810.0	1810.0	1810.0
1990-04-24	765000.0	1790.0	1810.0	1780.0	1800.0	1800.0
1990-04-25	607000.0	1790.0	1820.0	1780.0	1820.0	1820.0
1990-04-26	285000.0	1790.0	1810.0	1790.0	1790.0	1790.0
1990-04-27	378000.0	1790.0	1800.0	1780.0	1800.0	1800.0
1990-04-28						1797.5
1990-04-29						1795.0
1990-04-30						1792.5
1990-05-01	307000.0	1800.0	1800.0	1780.0	1790.0	1790.0
1990-05-02	478000.0	1790.0	1830.0	1790.0	1820.0	1820.0
1990-05-03						1824.0
1990-05-04						1828.0
1990-05-05						1832.0
1990-05-06						1836.0
1990-05-07	400000.0	1820.0	1840.0	1820.0	1840.0	1840.0
1990-05-08	351000.0	1820.0	1840.0	1820.0	1820.0	1820.0
1990-05-09	691000.0	1830.0	1840.0	1820.0	1820.0	1820.0
1990-05-10	784000.0	1830.0	1860.0	1820.0	1830.0	1830.0
1990-05-11	744000.0	1820.0	1830.0	1800.0	1820.0	1820.0
1990-05-12						1826.6
1990-05-13						1833.2
1990-05-14	719000.0	1830.0	1870.0	1830.0	1840.0	1840.0
1990-05-15	918000.0	1840.0	1850.0	1810.0	1830.0	1830.0
1990-05-16	945000.0	1800.0	1810.0	1770.0	1770.0	1770.0
1990-05-17	722000.0	1770.0	1790.0	1760.0	1770.0	1770.0
1990-05-18	623000.0	1770.0	1780.0	1750.0	1770.0	1770.0
1990-05-19						1776.6
1990-05-20						1783.2
1990-05-21	422000.0	1780.0	1790.0	1750.0	1790.0	1790.0
1990-05-22	1052000.0	1780.0	1840.0	1780.0	1830.0	1830.0
1990-05-23	409000.0	1830.0	1830.0	1790.0	1790.0	1790.0
1990-05-24	364000.0	1780.0	1810.0	1770.0	1780.0	1780.0
1990-05-25	514000.0	1790.0	1800.0	1770.0	1790.0	1790.0
1990-05-26						1793.3
1990-05-27						1796.6
1990-05-28	599000.0	1810.0	1810.0	1780.0	1800.0	1800.0
1990-05-29	882000.0	1800.0	1800.0	1760.0	1760.0	1760.0
1990-05-30	528000.0	1780.0	1780.0	1750.0	1780.0	1780.0
1990-05-31	479000.0	1770.0	1780.0	1760.0	1760.0	1760.0
1990-06-01	509000.0	1770.0	1780.0	1760.0	1770.0	1770.0
1990-06-02						1773.3
1990-06-03						1776.6
1990-06-04	242000.0	1770.0	1780.0	1760.0	1780.0	1780.0
1990-06-05	297000.0	1780.0	1780.0	1760.0	1780.0	1780.0
1990-06-06	416000.0	1780.0	1780.0	1760.0	1770.0	1770.0
1990-06-07	580000.0	1770.0	1780.0	1760.0	1760.0	1760.0
1990-06-08	1325000.0	1740.0	1760.0	1740.0	1750.0	1750.0
1990-06-09						1743.3
1990-06-10						1736.6
1990-06-11	560000.0	1730.0	1730.0	1710.0	1730.0	1730.0
1990-06-12	472000.0	1710.0	1730.0	1710.0	1720.0	1720.0
1990-06-13	328000.0	1720.0	1730.0	1710.0	1710.0	1710.0
1990-06-14	714000.0	1710.0	1740.0	1710.0	1740.0	1740.0
1990-06-15	893000.0	1730.0	1750.0	1720.0	1750.0	1750.0
1990-06-16						1746.6
1990-06-17						1743.2
1990-06-18	377000.0	1750.0	1750.0	1730.0	1740.0	1740.0
1990-06-19	343000.0	1720.0	1730.0	1710.0	1710.0	1710.0
1990-06-20	459000.0	1710.0	1730.0	1700.0	1720.0	1720.0
1990-06-21	568000.0	1730.0	1740.0	1710.0	1720.0	1720.0
1990-06-22	236000.0	1710.0	1720.0	1700.0	1710.0	1710.0
1990-06-23						1703.3
1990-06-24						1696.6
1990-06-25	529000.0	1700.0	1710.0	1690.0	1690.0	1690.0
1990-06-26	495000.0	1690.0	1700.0	1680.0	1680.0	1680.0
1990-06-27	682000.0	1740.0	1740.0	1700.0	1730.0	1730.0
1990-06-28	486000.0	1730.0	1730.0	1710.0	1730.0	1730.0
